12 15
27 15
27 60
12 60
12 15

0 3
6 6
0 12
0 3

12 15
37 15
37 40
12 40
12 15

11 2
10.9822 2.56511
10.929 3.128
10.8406 3.68643
10.7172 4.23821
10.5595 4.78115
10.368 5.31312
10.1434 5.83201
9.88676 6.33578
9.59895 6.82244
9.28115 7.29007
8.93462 7.73682
8.56072 8.16092
8.16092 8.56072
7.73682 8.93462
7.29007 9.28115
6.82244 9.59895
6.33578 9.88676
5.83201 10.1434
5.31312 10.368
4.78115 10.5595
4.23821 10.7172
3.68643 10.8406
3.128 10.929
2.56511 10.9822
2 11
1.43489 10.9822
0.872001 10.929
0.313568 10.8406
-0.238209 10.7172
-0.781153 10.5595
-1.31312 10.368
-1.83201 10.1434
-2.33578 9.88676
-2.82244 9.59895
-3.29007 9.28115
-3.73682 8.93462
-4.16092 8.56072
-4.56072 8.16092
-4.93462 7.73682
-5.28115 7.29007
-5.59895 6.82244
-5.88676 6.33578
-6.14344 5.83201
-6.36799 5.31312
-6.55951 4.78115
-6.71725 4.23821
-6.84059 3.68643
-6.92903 3.128
-6.98224 2.56511
-7 2
-6.98224 1.43489
-6.92903 0.872001
-6.84059 0.313568
-6.71725 -0.238209
-6.55951 -0.781153
-6.36799 -1.31312
-6.14344 -1.83201
-5.88676 -2.33578
-5.59895 -2.82244
-5.28115 -3.29007
-4.93462 -3.73682
-4.56072 -4.16092
-4.16092 -4.56072
-3.73682 -4.93462
-3.29007 -5.28115
-2.82244 -5.59895
-2.33578 -5.88676
-1.83201 -6.14344
-1.31312 -6.36799
-0.781153 -6.55951
-0.238209 -6.71725
0.313568 -6.84059
0.872001 -6.92903
1.43489 -6.98224
2 -7
2.56511 -6.98224
3.128 -6.92903
3.68643 -6.84059
4.23821 -6.71725
4.78115 -6.55951
5.31312 -6.36799
5.83201 -6.14344
6.33578 -5.88676
6.82244 -5.59895
7.29007 -5.28115
7.73682 -4.93462
8.16092 -4.56072
8.56072 -4.16092
8.93462 -3.73682
9.28115 -3.29007
9.59895 -2.82244
9.88676 -2.33578
10.1434 -1.83201
10.368 -1.31312
10.5595 -0.781153
10.7172 -0.238209
10.8406 0.313568
10.929 0.872001
10.9822 1.43489
11 2
11 2

